station_id,station_name
467060,蘇澳 (SU-AO)
467080,宜蘭 (YILAN)
C0U520,雙連埤 (Shuanglianpi)
C0U600,礁溪 (Chiaoshi)
C0U650,玉蘭 (Yulan)
C0U750,龜山島 (Gueishandao)
C0U760,東澳 (Dong-ao)
C0U770,南澳 (Nanao)
C0U780,五結 (Wujie)
C0U860,頭城 (Toucheng)
C0U870,大礁溪 (Dajiaoxi)
C0U890,三星 (Sanxing)
C0U900,內城 (Neicheng)
C0U910,冬山 (Dongshan)
C0U940,羅東 (Luodong)
C0U950,鶯子嶺 (Yingziling)
C0U960,翠峰湖 (Cuifenghu)
C0U970,大福 (Dafu)
C0U980,坪林石牌 (Shipai Pinglin)
C0U990,員山 (Yuanshan)
C0UA00,土場 (Tuchang)
C0UA10,鴛鴦湖 (Yuanyanghu)
C0UA20,多加屯 (Duojiatun)
C0UA30,白嶺 (Bailing)
C0UA40,西德山 (Xideshan)
C0UA50,西帽山 (Ximaoshan)
C0UA60,樟樹山 (Zhangshushan)
C0UA70,桃源谷 (Taoyuangu)
C0U710,太平山 (Taipingshan)
C0U720,南山 (Nanshan)