name,熱量(kcal),鈣(mg),鎂(mg),鐵(mg),鋅(mg),磷(mg),維生素A(ug RE),維生素E(mg),維生素B1(mg),維生素B2(mg),維生素B6(mg),維生素C(mg)
青江白菜,10,72,13,1,0.4,33,1212,0.28,0.04,0.04,0.04,16.2
蘆筍,25,10,9,0.7,0.5,35,272,0.07,0.09,0.06,0.1,16.7
奇異果,56,28,12,0.3,0.2,30,110,1.69,0.01,0.03,0.14,73
西瓜,35,5,12,0.3,0.2,9,2,0.04,0.02,0.03,0.04,6.7
草菇,36,4,12,1.6,0.9,103,0,0,0.09,0.38,0.2,0.1
溼香菇,39,3,16,0.6,1.2,84,0,0,0.01,0.23,0.18,0.3
火龍果,51,4,28,0.4,0.4,22,1,0.26,0.02,0.04,0.05,5.3
甘藍,23,47,12,0.4,0.3,30,52,0.24,0.03,0.02,0.17,37.2
竹筍,40,55,18,0.5,1.7,76,0,1.92,0.07,0.1,0.19,7.2
香蕉,85,5,24,0.4,0.5,23,3,0.3,0.05,0.05,0.44,10.7
每日建議值(7~9),2100 ,800,170,10.0,8.0,600,3500 ,8.00 ,1.00,1.20,0.80,60.0 
每日建議值(19~30),2400,1000,380,10,15,800,5000,12,1.2,1.3,1.5,100